,state,col1,col2,col3,col4,col5,col6,col7,col8,col9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
3,   United States ........,93.078962,0.218555,6.6447,0.01765,180.0,0.142993,1192.6472,3.0859,94.004983,0.269369,6.656056,0.015998,91.118081,0.432223,6.594394,0.040308
4,Alabama .................,93.812371,1.237261,7.02852,0.065621,180.0,0.75511,1266.6205,12.3343,93.776375,1.839154,7.038473,0.075944,94.561001,0.37928,7.137239,0.17312
5,Alaska ..................,89.917597,1.215976,6.47688,0.049882,180.0,3.427735,1162.9084,22.8639,91.281537,1.563482,6.486785,0.053082,93.240876,1.573715,6.240865,0.145993
6,Arizona .................,89.036961,2.952601,6.43369,0.091917,181.0,1.678664,1159.1144,14.4327,88.904393,3.905033,6.443155,0.102053,88.979716,3.220584,6.369092,0.248824
7,Arkansas ................,91.827111,1.352924,6.88542,0.061468,179.0,0.201577,1228.8881,10.6821,92.093201,2.091651,6.93216,0.076546,90.811952,2.231551,6.767508,0.095928
8,California ..............,93.241017,0.711649,6.24064,0.066364,181.0,0.439441,1128.7694,12.5276,94.931421,0.753808,6.289745,0.051471,89.360857,1.44673,6.142615,0.202711
10,Colorado ................,93.887162,0.440366,7.00761,0.051954,171.0,1.047398,1199.2969,9.9247,94.535267,0.447224,6.960578,0.066373,91.24294,1.281321,7.008753,0.105105
11,Connecticut .............,87.925871,2.984395,6.46655,0.087829,181.0,0.137733,1173.077,15.9229,87.37224,3.977535,6.469634,0.111509,93.747232,0.68057,6.462191,0.091594
12,Delaware ................,89.770581,1.754942,6.67801,0.089584,181.0,0.831973,1208.2303,18.6503,89.363391,2.502472,6.766382,0.060578,91.7372350425532,1.6285188723404251,6.544071,0.225909
13,District of Columbia ....,91.220829,1.269699,6.91375,0.214259,181.0,0.437943,1255.9567,42.261,93.931297,0.378824,6.916508,0.09694,91.7372350425532,1.6285188723404251,6.6368385000000005,0.17099470833333333
14,Florida .................,92.678174,0.741328,6.42749,0.084127,184.0,1.200181,1183.5712,18.8174,93.962499,0.935657,6.463525,0.05499,89.906731,1.429644,6.317011,0.377265
16,Georgia .................,93.266158,1.278376,6.79186,0.058118,181.0,1.03888,1229.2059,12.4409,93.871971,1.600244,6.818553,0.060145,93.069344,1.225265,6.871589,0.089014
17,Hawaii ..................,90.721279,4.577376,6.25758,0.097959,179.0,1.573022,1118.1579,12.7243,90.822238,2.634171,6.217248,0.04828,91.7372350425532,1.6285188723404251,6.6368385000000005,0.17099470833333333
18,Idaho ...................,92.37334,2.269361,6.63155,0.085639,173.0,2.580303,1142.5146,12.9977,91.986537,3.704115,6.593079,0.126844,92.520833,1.54277,6.667748,0.109899
19,Illinois ................,93.970461,0.706806,6.50051,0.053929,177.0,0.297876,1147.2934,9.6335,95.338551,0.501835,6.491613,0.060825,89.98308,2.453493,6.496553,0.128404
20,Indiana .................,95.674644,0.510953,6.77208,0.062664,180.0,0.293324,1221.8401,11.4011,95.882424,0.608187,6.710154,0.067023,95.047555,0.742807,6.963174,0.089091
22,Iowa ....................,94.760592,0.645329,6.85364,0.088878,180.0,0.198761,1232.1636,16.2713,96.285859,0.46424,6.892526,0.073588,90.44632,2.329317,6.643819,0.297336
23,Kansas ..................,95.350826,0.518303,6.98152,0.073274,178.0,0.633207,1240.0659,14.6755,95.897011,0.532599,6.984776,0.092847,94.640094,0.352401,7.006308,0.069329
24,Kentucky ................,93.068117,1.89377,6.68771,0.0582,180.0,1.074857,1201.7665,11.8224,93.950285,2.555089,6.707083,0.079091,91.490411,2.877976,6.709708,0.089078
25,Louisiana ...............,90.349523,2.310309,7.07677,0.077571,178.0,0.962,1262.8637,14.9237,91.549757,3.190268,6.951457,0.104969,88.039396,1.818949,7.264852,0.116807
26,Maine ...................,90.303632,2.409541,6.47134,0.064845,176.0,0.225253,1138.8027,11.1675,90.325384,3.175706,6.545149,0.078724,89.527644,1.580292,6.238478,0.143481
28,Maryland ................,94.103682,0.439791,6.58861,0.072328,180.0,0.362775,1187.9629,13.8137,95.258734,0.372772,6.65203,0.055013,90.180506,1.196291,6.394789,0.317211
29,Massachusetts ...........,94.596304,0.579249,6.45064,0.051428,180.0,0.068994,1162.678,9.342,95.87002,0.28192,6.397192,0.05812,89.612458,2.664965,6.619766,0.103123
30,Michigan ................,92.968459,1.011628,6.56221,0.076225,178.0,0.903239,1168.2051,13.2329,94.528839,1.119723,6.705792,0.066873,88.777809,2.06342,6.214806,0.204946
31,Minnesota ...............,93.146022,0.9089,6.28035,0.121614,176.0,1.4172,1101.8596,19.7642,94.781404,1.220212,6.508219,0.063133,93.237783,0.818993,6.304762,0.128575
32,Mississippi .............,92.091106,1.996271,6.99492,0.122474,181.0,0.194161,1264.5671,22.4842,95.055789,0.334469,7.062053,0.070032,92.909977,0.762194,6.81782,0.370673
34,Missouri ................,94.823437,0.260989,6.6985,0.052192,177.0,0.987228,1184.2128,11.2796,95.645352,0.319035,6.7709,0.075069,92.764588,0.53806,6.512506,0.109776
35,Montana .................,91.325266,1.39494,6.78815,0.054423,179.0,0.345266,1217.9983,10.3412,92.124666,1.857466,6.731135,0.076765,95.257252,0.659121,6.756976,0.087259
36,Nebraska ................,94.944186,1.214149,6.92428,0.080869,178.0,0.727576,1229.4223,14.171,95.513922,1.959975,6.856092,0.07788,95.237429,0.367354,6.711837,0.43694
37,Nevada ..................,93.515077,1.274028,6.30472,0.056042,180.0,0.178129,1134.6414,10.1345,93.219824,1.724913,6.309128,0.0593,94.840477,0.736088,6.26562,0.14256
38,New Hampshire ...........,92.207444,1.754847,6.54072,0.063014,180.0,0.048457,1178.1801,11.2351,92.545109,2.120287,6.474104,0.035447,90.387281,3.284552,6.805127,0.113535
40,New Jersey ..............,94.610399,0.593407,6.441,0.05112,181.0,0.356345,1167.4856,8.8999,95.518366,0.465409,6.422115,0.061848,91.662509,1.736824,6.528869,0.08978
41,New Mexico ..............,91.873346,1.76486,6.84617,0.078588,177.0,1.426564,1208.9868,13.2985,92.27878,2.385688,6.74511,0.090996,90.102858,2.116236,7.056184,0.120285
42,New York ................,92.735377,1.302509,6.58606,0.085583,182.0,0.385996,1201.5685,16.1519,94.44891,0.613896,6.467199,0.122943,90.819809,3.153587,6.944318,0.062449
43,North Carolina ..........,92.593062,1.728306,6.74883,0.05949,180.0,0.060545,1215.6425,10.744,93.340686,2.33089,6.739877,0.074855,90.775193,1.775037,6.829434,0.091997
44,North Dakota ............,95.921212,0.588245,6.58249,0.038108,176.0,0.441778,1161.3908,7.3662,96.527156,0.306219,6.514401,0.04064,92.883415,2.511226,6.765267,0.069815
46,Ohio ....................,91.780603,2.005199,6.60656,0.096734,180.0,0.319711,1190.5184,18.4531,91.68692,2.766763,6.579457,0.111114,92.826194,1.618147,6.648427,0.213482
47,Oklahoma ................,92.057487,2.241093,6.62873,0.058455,176.0,0.193334,1166.1491,10.4225,90.80459,3.477207,6.693441,0.049616,93.715958,0.656603,6.512602,0.195214
48,Oregon ..................,94.401409,0.591843,6.56541,0.056808,172.0,1.474504,1130.0288,10.6379,95.031392,0.240592,6.525386,0.051206,92.918814,1.366432,6.559099,0.138652
49,Pennsylvania ............,94.880593,0.392465,6.42794,0.12312,181.0,0.282291,1162.7027,22.2244,95.36439,0.45634,6.472706,0.090435,94.143533,0.883882,6.353271,0.396725
50,Rhode Island ............,93.736534,1.267272,6.27171,0.031661,180.0,0.092194,1131.0956,5.6457,94.232211,1.628417,6.241747,0.036296,91.7372350425532,1.6285188723404251,6.6368385000000005,0.17099470833333333
52,South Carolina ..........,94.897206,0.714842,6.92488,0.069953,181.0,0.427131,1251.5353,12.6797,95.767004,0.732163,6.973152,0.048151,91.876122,1.902321,6.783773,0.253193
53,South Dakota ............,93.640576,2.533928,6.82809,0.079889,173.0,0.854924,1179.909,10.0969,93.211795,3.779123,6.844293,0.098693,91.7372350425532,1.6285188723404251,6.6368385000000005,0.17099470833333333
54,Tennessee ...............,94.942545,0.227754,7.02813,0.054076,180.0,0.330222,1265.1483,9.8424,95.573729,0.246806,7.035905,0.071533,93.454072,0.788111,7.023419,0.028951
55,Texas ...................,94.086751,1.335309,7.17318,0.108078,180.0,0.796808,1288.8847,18.8107,95.681851,1.614634,7.169326,0.098598,89.651511,3.434868,7.05743,0.162884
56,Utah ....................,91.367433,1.5576,6.28167,0.286143,182.0,6.237453,1142.1014,33.3865,93.77001,1.792894,6.532641,0.0893,87.13775,3.422099,5.855808,0.551016
58,Vermont .................,92.726006,3.392472,6.65638,0.07396,177.0,0.45709,1179.4527,13.5836,93.081166,4.498027,6.716467,0.090426,90.778327,4.080822,6.407496,0.176015
59,Virginia ................,94.677993,0.460467,6.61718,0.050234,181.0,0.159185,1197.3283,9.1034,95.59685,0.349639,6.611134,0.032699,93.942223,0.5841,6.67654,0.187479
60,Washington ..............,82.855625,3.05699,6.22202,0.080353,179.0,0.173674,1116.5367,14.4906,81.047004,4.416025,6.378638,0.045202,85.76715,2.753712,5.892892,0.266992
61,West Virginia ...........,94.00976,0.987722,6.87364,0.070124,182.0,0.497818,1251.2268,13.6853,94.374244,1.315128,6.87959,0.093158,92.84598,0.408932,6.825342,0.136584
62,Wisconsin ...............,94.950856,0.566144,6.91175,0.042731,180.0,0.736128,1246.4809,8.6319,95.375952,0.414753,6.886868,0.048538,93.01958,1.907925,7.019506,0.144539
63,Wyoming .................,92.353008,1.154487,6.85867,0.045848,175.0,1.278829,1200.9323,8.3266,92.190909,1.647681,6.850612,0.054651,92.389426,0.749597,6.978594,0.0679
64,†Not applicable.,92.7894994615385,1.371106269230769,6.662334807692307,0.07679609615384614,178.94230769230768,0.7960342307692307,1191.895907692308,13.881553846153842,93.45219605769232,1.623456326923077,6.674641326923079,0.07108365384615384,91.7372350425532,1.6285188723404251,6.6368385000000005,0.17099470833333333
65,‡Reporting standards not met (too few cases).  ,92.7894994615385,1.371106269230769,6.662334807692307,0.07679609615384614,178.94230769230768,0.7960342307692307,1191.895907692308,13.881553846153842,93.45219605769232,1.623456326923077,6.674641326923079,0.07108365384615384,91.7372350425532,1.6285188723404251,6.6368385000000005,0.17099470833333333
66,"NOTE: Averages reflect data reported by schools rather than state requirements. School-reported length of day may exceed state requirements, and there is a range of statistical error in reported estimates. Standard errors appear in parentheses. ",92.7894994615385,1.371106269230769,6.662334807692307,0.07679609615384614,178.94230769230768,0.7960342307692307,1191.895907692308,13.881553846153842,93.45219605769232,1.623456326923077,6.674641326923079,0.07108365384615384,91.7372350425532,1.6285188723404251,6.6368385000000005,0.17099470833333333
67,"SOURCE: U.S. Department of Education, National Center for Education Statistics, Schools and Staffing Survey (SASS), ""Public School Questionnaire,"" 2003-04 and 2007-08. (This table was prepared June 2011.)",92.7894994615385,1.371106269230769,6.662334807692307,0.07679609615384614,178.94230769230768,0.7960342307692307,1191.895907692308,13.881553846153842,93.45219605769232,1.623456326923077,6.674641326923079,0.07108365384615384,91.7372350425532,1.6285188723404251,6.6368385000000005,0.17099470833333333
