,Unnamed: 0,event_id,primary_act_id,secondary_act_id,purch_party_lkup_id,event_name,primary_act_name,major_cat_name,minor_cat_name,la_event_type_cat,event_disp_name,ticket_text,tickets_purchased_qty,trans_face_val_amt,delivery_type_cd,event_date_time,event_dt,onsale_dt,sales_ord_create_dttm,sales_ord_tran_dt,print_dt,timezn_nm,venue_city,venue_state,venue_postal_cd_sgmt_1,print_flg,la_valid_tkt_event_flg,fin_mkt_nm,web_session_cookie_val,age_yr,income_amt,edu_val,edu_1st_indv_val,edu_2nd_indv_val,adults_in_hh_num,married_ind,child_present_ind,home_owner_ind,occpn_val,dist_to_ven
1,2,6c56d7f08c95f2aa453c,1a3e9aecd0617706a794,f53529c5679ea6ca5a48,4f9e6fc637eaf7b736c2,Gorge Camping - dave matthews band - sept 3-7,Gorge Camping,MISC,CAMPING,INVALID,Gorge Camping - dave matthews band - sept 3-7,"%OVERNIGHT C A M P I N G%* * * * * *%GORGE CAMPGROUND%* GOOD THIS DATE ONLY *%SEP 3 - 6, 2009",1,75.0,TicketFast,2009-09-05 01:00:00,2009-09-04,2009-03-13,2009-07-06 00:00:00,2009-07-05,2009-09-01,PST,QUINCY,WASHINGTON,98848,T ,N ,Seattle,4f9e6fc637eaf7b736c2,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,59.0
6,7,105ea9ee10065b54b0df,a14232befff04be1e2f3,b85143bf51323b72e53c,14af02b72584fa823f85,Phil Lesh & friends-pnc bank arts center holmdel premier parking,PNC Bank Arts Center Holmdel Premier Parking,MISC,PARKING,PARKING,Phil Lesh & friends-pnc bank arts center holmdel premier parking,"THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%PNC BANK ARTS CENTER%SAT JUL 1, 2006 4:30PM",1,30.0,TicketFast,2006-07-01 20:30:00,2006-07-01,2006-05-12,2006-06-16 00:00:00,2006-06-16,2006-06-16,EST,HOLMDEL,NEW JERSEY,07733,T ,N ,New York,14af02b72584fa823f85,28.0,112500.0,High School,High School,Missing,4.0,0.0,1.0,0.0,Missing,158.1888544891641
10,11,402bebb1d89c4024047a,8f53c0b7cd7810a1829d,b85143bf51323b72e53c,4e4d22890318dae96e6d,Cricket Pavilion Premier Parking: Earth Wind And Fire With Chris Botti,Cricket Pavilion Phx. Premier Parking,MISC,PARKING,PARKING,Cricket Pavilion Premier Parking: Earth Wind And Fire With Chris Botti,GOOD FOR PARKING ONLY%PREMIER PARKING PASS%ENTER OFF 79TH AVENUE%CRICKET PAVILION%GOOD THIS DATE ONLY%SAT AUG 26 2006 8:00 PM,1,20.0,TicketFast,2006-08-27 02:00:00,2006-08-26,2006-06-12,2006-08-06 00:00:00,2006-08-06,2006-08-06,MST,PHOENIX,ARIZONA,85035,T ,N ,Arizona,4e4d22890318dae96e6d,80.0,200000.0,High School,High School,High School,2.0,1.0,0.5615384615384615,1.0,Retired,158.1888544891641
15,16,afd7dbe7675fc5480a0c,4b677c3f5bec71eec8d1,b85143bf51323b72e53c,ebee63b01e98b720aebc,Premier Parking: Toby Keith,Parking Event,MISC,PARKING,PARKING,Premier Parking: Toby Keith,"THIS TICKET IS VALID%FOR PREMIER PARKING ONLY!%JUNE 28TH, 2008%TOBY KEITH%FORD AMPHITHEATRE%***USE MLK ENTRANCE***",1,20.0,Mail,2008-06-28 23:30:00,2008-06-28,2008-04-05,2008-04-05 00:00:00,2008-04-05,2008-04-10,EST,TAMPA,FLORIDA,33610,T ,N ,Tampa,ebee63b01e98b720aebc,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,36.0
23,24,179eb086e65ad82d0225,9caaa3cea047cfffa7b3,b85143bf51323b72e53c,7d2d3566e9bfe70ec9ef,Premier Parking: John Mayer,First Niagara Pavilion VIP Parking,MISC,PARKING,PARKING,Premier Parking: John Mayer,USE 2ND LANE FROM LEFT%JOHN MAYER%PREMIER PARKING*20-AUG-08%RIGHT OF PEDESTRIAN WKWAY%%WED AUG 20 2008 7:00PM,1,25.0,BWC,2008-08-20 23:00:00,2008-08-20,2008-06-07,2008-08-20 00:00:00,2008-08-19,2008-08-20,EST,BURGETTSTOWN,PENNSYLVANIA,15021,T ,N ,Pittsburgh,7d2d3566e9bfe70ec9ef,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,43.0
48,49,3ca4efcbc36374aa4161,1a3e9aecd0617706a794,e2981973281c70939168,dd86e9fc35f42f2447d6,3 Day Gorge Camping For Sasquatch! Festival May 24-26,Gorge Camping,MISC,CAMPING,INVALID,3 Day Gorge Camping For Sasquatch! Festival May 24-26,"NO REFUNDS/NO REBATES%OVERNIGHT C A M P I N G%* 3 DAY PASS *%GORGE CAMPGROUND%* GOOD THIS DATE ONLY *%SAT-MON MAY 24-26, 2008",1,100.0,Mail,2008-05-24 19:00:00,2008-05-24,2008-03-08,2008-03-08 00:00:00,2008-03-08,2008-03-13,PST,QUINCY,WASHINGTON,98848,T ,N ,Seattle,dd86e9fc35f42f2447d6,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,16.0
49,50,95a7d1ccb5fe10bd037c,1a3e9aecd0617706a794,e84711f231c204caaa78,7ea71a17dc83e5032777,1 Day Gorge Camping Pass For Jack Johnson Aug 22,Gorge Camping,MISC,CAMPING,INVALID,1 Day Gorge Camping Pass For Jack Johnson Aug 22,"%OVERNIGHT C A M P I N G%* 1 DAY PASS *%GORGE CAMPGROUND%* GOOD THIS DATE ONLY *%FRI AUG 22, 2008",1,40.0,TicketFast,2008-08-23 02:00:00,2008-08-22,2008-03-15,2008-04-28 00:00:00,2008-04-28,2008-06-05,PST,QUINCY,WASHINGTON,98848,T ,N ,Seattle,7ea71a17dc83e5032777,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,15.0
71,72,00e00557718d55826bf0,ea6991e953477c0bb31f,b85143bf51323b72e53c,b9cec6e8eb667b6d0b27,Dodge Theatre Adams Street Parking- Chicago / doobie brothers,Dodge Theatre Parking,MISC,PARKING,PARKING,Dodge Theatre Adams Street Parking- Chicago / doobie brothers,ADAMS STREET GARAGE%GOOD ONLY 6/3/2008%DODGE THEATRE PARKING PASS%ENTER AT 4TH AVE & ADAMS%CHICAGO/DOOBIE BROTHERS%GARAGE OPENS AT 6:00 PM,1,9.0,Mail,2008-06-04 01:30:00,2008-06-03,2008-03-19,2008-03-28 00:00:00,2008-03-28,2008-03-31,MST,PHOENIX,ARIZONA,85003,T ,N ,Arizona,b9cec6e8eb667b6d0b27,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,4.0
75,76,86d498ec819a89b1f843,d769ab09a96be5a0b316,b85143bf51323b72e53c,5bec07592428d6f18923,Premier Parking: Counting Crows & maroon 5,Verizon Wireless Amph. Charlotte Premier Parking,MISC,PARKING,PARKING,Premier Parking: Counting Crows & maroon 5,THIS TICKET IS VALID FOR%PREMIER PARKING%COUNTING CROWS/MAROON 5%VERIZON WIRELESS AMPH CHA%HWY 29 TO PAVILION BLVD%MON JUL 28 2008 7:00PM,1,20.0,TicketFast,2008-07-28 23:00:00,2008-07-28,2008-04-11,2008-07-28 00:00:00,2008-07-28,2008-07-28,EST,CHARLOTTE,NORTH CAROLINA,28262,T ,N ,Charlotte,5bec07592428d6f18923,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,269.0
79,80,071850b742c7cd68e57b,86548c5bce2089a5d311,b85143bf51323b72e53c,3c2dad2ae9257d690ad3,Vip Blossom Music Center Parking : rascal flatts,Blossom Music Center Premier Parking,MISC,PARKING,PARKING,Vip Blossom Music Center Parking : rascal flatts,*** PARKING RECEIPT ***%RASCAL FLATTS%THIS IS NOT A PASS%BLOSSOM MUSIC CENTER%*** RECEIPT ONLY ***%FRI AUG 07 2009  8:00PM,1,15.0,Mail,2009-08-08 00:00:00,2009-08-07,2009-04-08,2009-04-21 00:00:00,2009-04-21,2009-04-22,CST,CUYAHOGA FALLS,OHIO,44223,T ,N ,Cleveland,3c2dad2ae9257d690ad3,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,17.0
85,86,6752a309905b3b027656,5a29f349bfe4d595f521,b85143bf51323b72e53c,69ea15af9f5b4866686c,Premier Parking: Kenny Chesney,Klipsch Music Ctr. Ind. Premier Parking,MISC,PARKING,PARKING,Premier Parking: Kenny Chesney,THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%KENNY CHESNEY%VERIZON WIRELESS MUSIC CTR%SUN SEP 3 2006 7:00PM,1,20.0,Mail,2006-09-03 23:00:00,2006-09-03,2006-06-23,2006-06-23 00:00:00,2006-06-23,2006-06-26,CST,NOBLESVILLE,INDIANA,46060,T ,N ,Indiana-Ohio,69ea15af9f5b4866686c,54.0,35000.0,High School,Missing,High School,2.0,0.0,1.0,0.9420289855072463,Clerical White Collar,158.1888544891641
93,94,fcd075ec4191081e1c9e,d769ab09a96be5a0b316,b85143bf51323b72e53c,53077d18ae8789b84398,Premier Parking: Nickelback,Verizon Wireless Amph. Charlotte Premier Parking,MISC,PARKING,PARKING,Premier Parking: Nickelback,THIS TICKET IS VALID FOR%PREMIER PARKING%NICKELBACK%VERIZON WIRELESS AMPH CHA%HWY 29 TO PAVILION BLVD%SAT AUG 25 2007 7:00PM,1,20.0,Mail,2007-08-25 23:00:00,2007-08-25,2007-07-14,2007-07-25 00:00:00,2007-07-25,2007-07-27,EST,CHARLOTTE,NORTH CAROLINA,28262,T ,N ,Charlotte,53077d18ae8789b84398,40.0,200000.0,High School,Missing,High School,2.0,1.0,1.0,1.0,Missing,158.1888544891641
99,100,e5b1ba0d6665ee414f2b,03cabca4db63531dc982,b85143bf51323b72e53c,8745a8c19122616d6803,Premiere Parking: Dave Matthews Band,Alpine Valley Music Theatre Premier Parking,MISC,PARKING,PARKING,Premiere Parking: Dave Matthews Band,**PARKING ONLY!!**%DAVE MATTHEWS BAND%THIS TICKET VALID ONLY FOR%PREMIER PARKING%ALPINE VALLEY%SAT AUG 09 2008 7:00 PM,1,30.0,TicketFast,2008-08-10 00:00:00,2008-08-09,2008-03-29,2008-03-29 00:00:00,2008-03-29,2008-03-30,CST,ELKHORN,WISCONSIN,53121,T ,N ,Wisconsin,8745a8c19122616d6803,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,2.0
